date,deathConfirmed,deathIncrease,hospitalizedCurrently,positive,positiveIncrease,recovered,totalTestResults,totalTestResultsIncrease
3/7/2021,15666,0,866,656072,0,549881,10621967,0
3/6/2021,15666,57,866,656072,1692,549881,10621967,37232
3/5/2021,15610,12,866,654380,1791,541258,10584735,46112
3/4/2021,15600,39,890,652589,1827,541258,10538623,46486
3/3/2021,15563,6,882,650762,1705,541258,10492137,36453
3/2/2021,15558,25,959,649057,1642,541258,10455684,19406
3/1/2021,15534,11,893,647415,1865,541258,10436278,48387
2/28/2021,15522,0,841,645550,0,541258,10387891,0
2/27/2021,15522,70,841,645550,1425,541258,10387891,36981
2/26/2021,15454,2,841,644125,1257,529080,10350910,41966
2/25/2021,15453,47,821,642868,1598,529080,10308944,50160
2/24/2021,15405,9,855,641270,1558,529080,10258784,41891
2/23/2021,15396,37,891,639712,1784,529080,10216893,25490
2/22/2021,15362,1,841,637928,1659,529080,10191403,46336
2/21/2021,15359,0,860,636269,0,529080,10145067,0
2/20/2021,15359,68,860,636269,823,529080,10145067,39029
2/19/2021,15296,23,860,635446,1473,517991,10106038,38083
2/18/2021,15273,91,877,633973,1201,517991,10067955,32529
2/17/2021,15188,11,929,632772,1240,517991,10035426,28292
2/16/2021,15177,19,939,631532,1124,517991,10007134,17169
2/15/2021,15158,11,957,630408,1452,517991,9989965,51616
2/14/2021,15150,0,1024,628956,0,517991,9938349,0
2/13/2021,15150,92,1024,628956,944,517991,9938349,34182
2/12/2021,15062,8,1024,628012,1535,498495,9904167,41708
2/11/2021,15052,80,1061,626477,1507,498495,9862459,48676
2/10/2021,14977,14,1175,624970,1239,498495,9813783,34376
2/9/2021,14965,62,1175,623731,918,498495,9779407,18303
2/8/2021,14905,9,1211,622813,2128,498495,9761104,52588
2/7/2021,14894,0,1296,620685,0,498495,9708516,0
2/6/2021,14894,104,1296,620685,1186,498495,9708516,37025
2/5/2021,14798,25,1296,619499,1754,481801,9671491,47633
2/4/2021,14778,81,1376,617745,1885,481801,9623858,50126
2/3/2021,14704,35,1376,615860,1717,481801,9573732,40276
2/2/2021,14672,73,1404,614143,1433,481801,9533456,18400
2/1/2021,14609,11,1409,612710,2572,481801,9515056,49911
1/31/2021,14601,0,1479,610138,0,481801,9465145,0
1/30/2021,14601,115,1479,610138,1511,481801,9465145,43036
1/29/2021,14497,8,1479,608627,2139,463106,9422109,52513
1/28/2021,14491,88,1536,606488,2255,463106,9369596,51507
1/27/2021,14411,9,1594,604233,2065,463106,9318089,48890
1/26/2021,14405,86,1638,602168,2075,463106,9269199,26808
1/25/2021,14326,38,1668,600093,3347,463106,9242391,60168
1/24/2021,14291,0,1843,596746,0,463106,9182223,0
1/23/2021,14291,230,1843,596746,1826,463106,9182223,53925
1/22/2021,14070,18,1843,594920,2538,442408,9128298,44578
1/21/2021,14053,163,1907,592382,2513,442408,9083720,55655
1/20/2021,13905,35,2077,589869,2421,442408,9028065,40284
1/19/2021,13865,49,2055,587448,2320,442408,8987781,19436
1/18/2021,13824,17,2140,585128,3343,442408,8968345,65957
1/17/2021,13804,0,2222,581785,0,442408,8902388,0
1/16/2021,13804,119,2222,581785,2211,442408,8902388,51259
