date,state,death,deathConfirmed,deathIncrease,hospitalized,hospitalizedCurrently,positive,positiveIncrease,recovered,totalTestResults,totalTestResultsIncrease
3/7/21,AK,305,,0,1293,33,56886,0,,1731628,0
3/7/21,AL,10148,7963,-1,45976,494,499819,408,295690,2323788,2347
3/7/21,AR,5319,4308,22,14926,335,324818,165,315517,2736442,3380
3/7/21,AS,0,,0,,,0,0,,2140,0
3/7/21,AZ,16328,14403,5,57907,963,826454,1335,,7908105,45110
3/7/21,CA,54124,,258,,4291,3501394,3816,,49646014,133186
3/7/21,CO,5989,5251,3,23904,326,436602,840,,6415123,38163
3/7/21,CT,7704,6327,0,12257,428,285330,0,,6520366,0
3/7/21,DC,1030,,0,,150,41419,146,29570,1261363,5726
3/7/21,DE,1473,1337,9,,104,88354,215,,1431942,5867
3/7/21,FL,32266,,66,82237,3307,1909209,4024,,22339182,64599
3/7/21,GA,17906,15598,1,56797,2008,1023487,1709,,7359069,18827
3/7/21,GU,133,,0,,2,7749,0,7590,120636,0
3/7/21,HI,445,445,1,2226,27,28699,53,,1146796,5117
3/7/21,IA,5558,,6,,167,282384,257,320054,1326802,1556
3/7/21,ID,1879,1652,3,7184,150,172931,104,96017,645838,396
3/7/21,IL,23014,20763,12,,1141,1198335,1068,,18640190,68094
3/7/21,IN,12737,12310,11,43217,656,667262,746,,8242367,29427
3/7/21,KS,4812,,0,9387,235,295861,0,,1270547,0
3/7/21,KY,4819,4369,13,19457,558,410709,525,48145,3975672,0
3/7/21,LA,9748,9033,32,,532,433785,740,415954,5695464,21318
3/7/21,MA,16417,16085,43,19713,665,591356,1425,508745,16825551,96578
3/7/21,MD,7955,7773,14,35651,818,387319,709,9703,8097590,33128
3/7/21,ME,706,683,2,1570,67,45794,159,12840,1660180,7490
3/7/21,MI,16658,15666,0,,866,656072,0,549881,10621967,0
3/7/21,MN,6550,6276,4,25978,224,490011,895,476055,7111428,25369
3/7/21,MO,8161,,0,,955,480643,291,,4565866,10659
3/7/21,MP,2,2,0,4,,145,1,29,17574,1
3/7/21,MS,6808,4737,3,9162,419,297581,260,278162,1756955,260
3/7/21,MT,1381,,0,4630,63,100914,72,97943,1104488,3132
3/7/21,NC,11502,10169,0,,1179,872176,0,,9688838,0
3/7/21,ND,1478,,0,3880,23,100391,34,98326,1425146,679
3/7/21,NE,2113,,0,6237,137,203026,373,157144,2421684,1
3/7/21,NH,1184,,3,1131,68,76861,166,73615,1497185,15697
3/7/21,NJ,23574,21177,17,64396,1792,812609,2519,,10999550,2519
3/7/21,NM,3808,,12,13252,169,186922,180,156554,2783542,11702
3/7/21,NV,5037,,1,,399,296190,730,,2770192,6201
3/7/21,NY,39029,,59,89995,4789,1681169,6789,,39695100,227768
3/7/21,OH,17656,14752,0,50881,820,978471,735,925655,10257157,29289
3/7/21,OK,4534,,0,24332,346,428997,461,412177,3575297,461
3/7/21,OR,2296,,3,8714,158,157079,195,,3850973,0
3/7/21,PA,24349,,32,,1587,948643,1658,861756,10681716,52432
3/7/21,PR,2059,1749,0,,147,101327,0,91987,407299,0
3/7/21,RI,2547,,0,9020,141,128781,265,,3123348,13513
3/7/21,SC,8754,7744,35,20725,579,525865,1408,218863,5183044,27264
3/7/21,SD,1900,,2,6705,72,113589,211,109531,701924,1275
3/7/21,TN,11543,9278,0,18870,851,782206,0,756793,6872745,0
3/7/21,TX,44451,,84,,4721,2686818,2953,2502609,19907384,76040
3/7/21,UT,1976,,1,14891,212,374850,412,358958,2910121,6828
3/7/21,VA,9596,8104,77,24661,1127,585700,1163,,6038209,19925
3/7/21,VI,25,25,0,,,2714,0,2559,48881,0
3/7/21,VT,208,,0,,31,16083,119,13384,1124215,8748
3/7/21,WA,5041,,0,19599,431,344532,664,,5393756,24040
3/7/21,WI,7106,6481,4,26457,249,621654,377,553203,7080595,19193
3/7/21,WV,2325,1981,2,,179,133445,155,125383,2236551,6449
3/7/21,WY,682,,0,1391,21,54764,0,53550,649293,0
3/6/21,AK,305,,0,1293,33,56886,0,,1731628,0
3/6/21,AL,10149,7963,27,45976,526,499411,524,295690,2321441,5314
3/6/21,AR,5297,4302,14,14915,345,324653,327,315181,2733062,4959
3/6/21,AS,0,,0,,,0,0,,2140,0
3/6/21,AZ,16323,14395,54,57863,966,825119,1735,,7862995,35425
3/6/21,CA,53866,,418,,4513,3497578,4452,,49512828,218325
3/6/21,CO,5986,5251,0,23886,326,435762,1108,,6376960,33600
3/6/21,CT,7704,6327,0,12257,428,285330,0,,6520366,0
3/6/21,DC,1030,,3,,150,41273,151,29470,1255637,8000
3/6/21,DE,1464,1328,11,,114,88139,265,,1426075,8757
3/6/21,FL,32200,,107,82145,3352,1905185,4587,,22274583,87820
3/6/21,GA,17905,15597,90,56762,2071,1021778,2269,,7340242,24765
3/6/21,GU,133,,0,,2,7749,1,7590,120636,1
3/6/21,HI,444,444,1,2226,27,28646,85,,1141679,5284
3/6/21,IA,5552,,3,,170,282127,362,319780,1325246,1877
3/6/21,ID,1876,1649,0,7179,150,172827,240,95808,645442,646
3/6/21,IL,23002,20750,56,,1210,1197267,2565,,18572096,79248
3/6/21,IN,12726,12299,29,43153,663,666516,1231,,8212940,41718
3/6/21,KS,4812,,0,9387,235,295861,0,,1270547,0
3/6/21,KY,4806,4356,52,19451,591,410184,839,48131,3975672,5773
3/6/21,LA,9716,9007,0,,538,433045,0,415954,5674146,0
3/6/21,MA,16374,16044,52,19713,687,589931,1722,508745,16728973,100359
3/6/21,MD,7941,7759,11,35572,830,386610,932,9703,8064462,40384
3/6/21,ME,704,681,0,1566,74,45635,183,12838,1652690,8103
3/6/21,MI,16658,15666,57,,866,656072,1692,549881,10621967,37232
3/6/21,MN,6546,6272,12,25976,224,489116,946,475170,7086059,28026
3/6/21,MO,8161,,3,,1001,480352,386,,4555207,14140
3/6/21,MP,2,2,0,4,,144,0,29,17573,0
3/6/21,MS,6805,4734,22,9162,419,297321,576,278162,1756695,576
3/6/21,MT,1381,,2,4629,63,100842,186,97801,1101356,4443
3/6/21,NC,11502,10169,56,,1179,872176,2027,,9688838,38654
3/6/21,ND,1478,,0,3878,21,100357,79,98240,1424467,1930
3/6/21,NE,2113,,1,6229,136,202653,343,156825,2421683,10138
3/6/21,NH,1181,,3,1127,90,76695,273,73327,1481488,0
3/6/21,NJ,23557,21160,36,64338,1862,810090,3720,,10997031,3720
3/6/21,NM,3796,,9,13242,148,186742,282,155000,2771840,13846
3/6/21,NV,5036,,16,,399,295460,0,,2763991,9659
3/6/21,NY,38970,,79,89995,4954,1674380,7647,,39467332,273132
3/6/21,OH,17656,14752,0,50848,922,977736,1506,923986,10227868,40190
3/6/21,OK,4534,,0,24277,346,428536,978,411624,3574836,12218
3/6/21,OR,2293,,9,8714,158,156884,211,,3850973,52906
3/6/21,PA,24317,,55,,1513,946985,2789,859218,10629284,0
3/6/21,PR,2059,1749,3,,147,101327,261,91987,407299,261
3/6/21,RI,2547,,6,9020,141,128516,395,,3109835,21854
3/6/21,SC,8719,7711,20,20659,623,524457,1199,218863,5155780,28973
3/6/21,SD,1898,,2,6692,74,113378,149,109371,700649,2193
3/6/21,TN,11543,9278,9,18870,879,782206,1312,756793,6872745,16164
3/6/21,TX,44367,,233,,4921,2683865,5570,2491753,19831344,11292
3/6/21,UT,1975,,5,14867,216,374438,570,358249,2903293,8211
3/6/21,VA,9519,8090,91,24637,1164,584537,1477,,6018284,21456
3/6/21,VI,25,25,0,,,2714,0,2559,48881,0
3/6/21,VT,208,,1,,26,15964,145,13305,1115467,8171
3/6/21,WA,5041,,9,19556,431,343868,778,,5369716,25314
3/6/21,WI,7102,6478,8,26432,260,621277,614,552642,7061402,24321
3/6/21,WV,2323,1979,5,,196,133290,326,124983,2230102,11614
3/6/21,WY,682,,0,1391,21,54764,0,53550,649293,0
3/5/21,AK,305,,2,1293,33,56886,141,,1731628,7144
3/5/21,AL,10122,7943,28,45976,526,498887,811,295690,2316127,4920
3/5/21,AR,5283,4291,10,14903,359,324326,570,314732,2728103,8874
3/5/21,AS,0,,0,,,0,0,,2140,0
3/5/21,AZ,16269,14339,84,57819,1043,823384,2276,,7827570,51727
3/5/21,CA,53448,,400,,4714,3493126,4659,,49294503,146818
3/5/21,CO,5986,5250,12,23863,356,434654,1633,,6343360,33127
3/5/21,CT,7704,6327,11,12257,428,285330,830,,6520366,41868
3/5/21,DC,1027,,3,,160,41122,108,29417,1247637,5821
3/5/21,DE,1453,1317,9,,127,87874,231,,1417318,3678
3/5/21,FL,32093,,138,81902,3419,1900598,5876,,22186763,106925
3/5/21,GA,17815,15526,65,56627,2099,1019509,2081,,7315477,35861
3/5/21,GU,133,,2,,2,7748,1,7590,120635,539
3/5/21,HI,443,443,2,2225,28,28561,95,,1136395,5302
3/5/21,IA,5549,,13,,176,281765,374,318996,1323369,1923
3/5/21,ID,1876,1649,0,7164,139,172587,299,95524,644796,1438
3/5/21,IL,22946,20700,44,,1166,1194702,1442,,18492848,103336
3/5/21,IN,12697,12263,34,43104,730,665285,839,,8171222,37626
3/5/21,KS,4812,,-4,9387,235,295861,752,,1270547,5787
3/5/21,KY,4754,4311,22,19380,606,409345,905,48038,3969899,15260
3/5/21,LA,9716,9007,30,,538,433045,518,415954,5674146,19161
3/5/21,MA,16322,15992,26,19713,716,588209,1899,508745,16628614,106263
3/5/21,MD,7930,7748,8,35378,849,385678,913,9701,8024078,41728
3/5/21,ME,704,681,-1,1560,74,45452,225,12833,1644587,11279
3/5/21,MI,16601,15610,12,,866,654380,1791,541258,10584735,46112
3/5/21,MN,6534,6261,13,25938,224,488170,796,474175,7058033,34207
3/5/21,MO,8158,,8,,1019,479966,430,,4541067,16593
3/5/21,MP,2,2,0,4,,144,0,29,17573,0
3/5/21,MS,6783,4724,19,9162,445,296745,591,278162,1756119,591
3/5/21,MT,1379,,4,4610,67,100656,125,97541,1096913,5391
3/5/21,NC,11446,10125,47,,1226,870149,2093,,9650184,44487
3/5/21,ND,1478,,0,3875,22,100278,94,98164,1422537,2917
3/5/21,NE,2112,,20,6226,143,202310,337,156510,2411545,7859
3/5/21,NH,1178,,0,1126,90,76422,244,73004,1481488,7047
3/5/21,NJ,23521,21124,30,65254,1881,806370,3701,,10993311,94291
3/5/21,NM,3787,,18,13229,183,186460,304,153376,2757994,19260
3/5/21,NV,5020,,15,,393,295460,391,,2754332,8024
3/5/21,NY,38891,,95,89995,5034,1666733,8956,,39194200,296935
3/5/21,OH,17656,14752,467,50782,919,976230,1750,921707,10187678,43131
3/5/21,OK,4534,,0,24157,366,427558,917,410778,3562618,9216
3/5/21,OR,2284,,32,8699,154,156673,386,,3798067,10629
3/5/21,PA,24262,,43,,1587,944196,2757,859218,10629284,59517
3/5/21,PR,2056,1747,3,,136,101066,199,91833,407038,199
3/5/21,RI,2541,,2,9020,141,128121,394,,3087981,22869
3/5/21,SC,8699,7697,39,20605,664,523258,1695,230793,5126807,26994
3/5/21,SD,1896,,0,6681,74,113229,164,109237,698456,1800
3/5/21,TN,11534,9272,33,18837,939,780894,1445,755474,6856581,21699
3/5/21,TX,44134,,256,,5065,2678295,6853,2470308,19820052,55875
3/5/21,UT,1970,,15,14841,238,373868,1160,357312,2895082,8713
3/5/21,VA,9428,8049,71,24514,1222,583060,1652,,5996828,24556
3/5/21,VI,25,25,0,,,2714,10,2559,48881,170
3/5/21,VT,207,,0,,26,15819,133,13145,1107296,12441
3/5/21,WA,5032,,20,19500,413,343090,854,,5344402,24021
3/5/21,WI,7094,6477,12,26387,260,620663,721,552311,7037081,28542
3/5/21,WV,2318,1971,9,,200,132964,287,124502,2218488,10812
3/5/21,WY,682,,0,1391,21,54764,79,53550,649293,3114
3/4/21,AK,303,,0,1290,32,56745,140,,1724484,13466
3/4/21,AL,10094,7920,65,45807,544,498076,922,295690,2311207,5890
3/4/21,AR,5273,4283,12,14876,397,323756,403,314207,2719229,9283
3/4/21,AS,0,,0,,,0,0,,2140,0
3/4/21,AZ,16185,14264,96,57747,1072,821108,1154,,7775843,36482
3/4/21,CA,53048,,273,,4967,3488467,3504,,49147685,119637
3/4/21,CO,5974,5238,4,23791,355,433021,1351,,6310233,36564
3/4/21,CT,7693,6320,15,12257,433,284500,878,,6478498,42863
3/4/21,DC,1024,,1,,170,41014,196,29287,1241816,7833
3/4/21,DE,1444,1308,4,,130,87643,218,,1413640,3724
3/4/21,FL,31955,,126,81600,3566,1894722,5997,,22079838,104245
3/4/21,GA,17750,15462,125,56512,2191,1017428,2886,,7279616,28189
3/4/21,GU,131,,0,,5,7747,2,7590,120096,426
