date,death,deathIncrease,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,positive,positiveIncrease,totalTestResults,totalTestResultsIncrease
3/7/21,515148,839,726,40212,878613,74582825,131835,28756184,41530,363824818,1169754
3/6/21,514309,1680,503,41401,877887,74450990,143835,28714654,60015,362655064,1430992
3/5/21,512629,2221,2781,42541,877384,74307155,271917,28654639,68787,361224072,1744417
3/4/21,510408,1743,1530,44172,874603,74035238,177957,28585852,65487,359479655,1590984
3/3/21,508665,2449,2172,45462,873073,73857281,267001,28520365,66836,357888671,1406795
3/2/21,506216,1728,1871,46388,870901,73590280,255779,28453529,54248,356481876,1343519
3/1/21,504488,1241,1024,46738,869030,73334501,118077,28399281,48092,355138357,1154440
2/28/21,503247,1051,879,47352,868006,73216424,203599,28351189,54349,353983917,1408422
2/27/21,502196,1847,1428,48871,867127,73012825,205090,28296840,71245,352575495,1655179
2/26/21,500349,2141,1933,51112,865699,72807735,276829,28225595,74857,350920316,1803309
2/25/21,498208,3138,1982,52669,863766,72530906,272209,28150738,75565,349117007,1826144
2/24/21,495070,2447,2172,54118,861784,72258697,245318,28075173,73258,347290863,1450666
2/23/21,492623,2241,2164,55058,859612,72013379,225267,28001915,69105,345840197,1193835
2/22/21,490382,1235,1305,55403,857448,71788112,123611,27932810,52530,344646362,1201247
2/21/21,489147,1287,997,56159,856143,71664501,156778,27880280,58702,343445115,1232995
2/20/21,487860,2160,1732,58222,855146,71507723,141790,27821578,72354,342212120,1290481
2/19/21,485700,2477,2674,59882,853414,71365933,224755,27749224,74676,340921639,1878033
2/18/21,483223,2616,2497,62300,850740,71141178,218491,27674548,66824,339043606,1345849
2/17/21,480607,2348,2857,63405,848243,70922687,233666,27607724,66839,337697757,1298421
2/16/21,478259,1353,2094,64533,845386,70689021,101102,27540885,56312,336399336,1053698
2/15/21,476906,1078,1130,65455,843292,70587919,143388,27484573,55077,335345638,1123560
2/14/21,475828,1366,1236,67023,842162,70444531,171877,27429496,72164,334222078,1439631
2/13/21,474462,3467,1805,69283,840926,70272654,234293,27357332,90642,332782447,1757608
2/12/21,470995,5427,2347,71497,839121,70038361,255983,27266690,101030,331024839,1812454
2/11/21,465568,3873,2460,74225,836774,69782378,260124,27165660,102417,329212385,1855929
2/10/21,461695,3445,3226,76979,834314,69522254,155861,27063243,95194,327356456,1382709
2/9/21,458250,2795,3144,79179,831088,69366393,337168,26968049,92986,325973747,1488481
2/8/21,455455,1309,1638,80055,827944,69029225,142156,26875063,77737,324485266,1400009
2/7/21,454146,1475,1543,81439,826306,68887069,208303,26797326,95994,323085257,1498808
2/6/21,452671,2994,2443,84233,824763,68678766,282477,26701332,114557,321586449,1888854
